OrganizationId,ReportGuid,ReportName,WorkspaceId,IsUsageMetricsReport
"","bda22592-3cbd-4a38-a8d6-71693e78c67f","Knowledge harvesting","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","ea861f5c-d3c7-472a-9f97-d165f8ce3a7a","DTP_Shadow_Experimentation","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","a53af7fa-1f35-45ad-aa96-0dab3fb166d7","Agent Copilot Metrics Commercial_Prod","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","1c56e11c-3466-4772-85a2-6eb88b67ef03","AIMetrics","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","3ca9559c-8fc7-46f5-a038-8909a45c16a7","DTP-ConsumptionReport","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","47b84f17-cf9e-4c47-9034-47e13e8f34c8","AI Native Exec Reporting - PROD","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","e8028d04-fa5b-462a-a09f-3031743bd290","exec","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","d15c99aa-374c-45e0-a871-57117b579b02","SCIM_KnowledgeAgent_Prod","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","c24c6f74-11ad-4f2a-b6ab-ca5a63ad27a9","DTP-ConsumptionReport-Prod","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","a882e820-db14-4af6-8d3f-ebdf891dbf15","XBOX Shadow Experimentation","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","d42812e4-13bc-484c-b59b-7fdf5ed2cd8e","Xbox_Agent_Report_Prod_to_be_deleted","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","6aff705c-420b-4be3-8e55-2563580348c6","Content Self-Serve Dashboard - Perf Changes","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","f6d1e505-ec9f-407a-b2c5-694e347212b6","Agentic Copilot Features","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","70ecec85-fdcc-4872-a275-7f3141f239e0","KPI Details","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","8a665184-0cd0-4dac-8cae-2774c4cf81ae","Content Self-Serve Dashboard-N","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","42807bba-2117-4c91-903f-0931c9b87aff","AI Native Exec Reporting demo","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","f54dac9b-8ef5-465d-95e7-fce20bb78bf4","Agent Copilot Metrics Consumer - OLD","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","811e4052-52ba-4030-9b44-4ad4fd1a9a16","InteractionTypeTesting","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","b650fbe0-1f41-42a7-9a56-9911a26b6de4","Agent Operation View","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
